Id,Label,timeset,componentid,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree
1,3466,,0,8,8,16,8,8,16
2,937,,0,5,5,10,5,5,10
3,5233,,0,2,2,4,2,2,4
4,8579,,0,5,5,10,5,5,10
5,10310,,0,13,13,26,13,13,26
6,15931,,0,10,10,20,10,10,20
7,17038,,0,17,17,34,17,17,34
8,18720,,0,3,3,6,3,3,6
9,19607,,0,4,4,8,4,4,8
10,14924,,0,23,23,46,23,23,46
11,4135,,0,5,5,10,5,5,10
12,18233,,0,3,3,6,3,3,6
13,16258,,0,13,13,26,13,13,26
14,1854,,0,8,8,16,8,8,16
15,4583,,0,3,3,6,3,3,6
16,9572,,0,34,34,68,34,34,68
17,10841,,0,7,7,14,7,7,14
18,13056,,0,10,10,20,10,10,20
19,14982,,0,2,2,4,2,2,4
20,16310,,0,17,17,34,17,17,34
21,19640,,0,25,25,50,25,25,50
22,23855,,0,8,8,16,8,8,16
23,24372,,0,1,1,2,1,1,2
24,24814,,0,21,21,42,21,21,42
25,23344,,0,9,9,18,9,9,18
26,19865,,0,26,26,52,26,26,52
27,24009,,0,9,9,18,9,9,18
28,15959,,0,9,9,18,9,9,18
29,24444,,0,3,3,6,3,3,6
30,21968,,0,13,13,26,13,13,26
31,18866,,0,44,44,88,44,44,88
32,7188,,0,12,12,24,12,12,24
33,896,,0,5,5,10,5,5,10
34,19992,,0,15,15,30,15,15,30
35,7277,,0,9,9,18,9,9,18
36,16766,,0,3,3,6,3,3,6
37,16770,,0,3,3,6,3,3,6
38,16858,,0,3,3,6,3,3,6
39,17113,,0,12,12,24,12,12,24
40,17389,,0,3,3,6,3,3,6
41,18408,,0,10,10,20,10,10,20
42,19089,,0,5,5,10,5,5,10
43,20033,,0,4,4,8,4,4,8
44,23429,,0,4,4,8,4,4,8
45,24578,,0,4,4,8,4,4,8
46,2846,,0,16,16,32,16,16,32
47,495,,0,4,4,8,4,4,8
48,9458,,0,5,5,10,5,5,10
49,17968,,0,6,6,12,6,6,12
50,2655,,0,1,1,2,1,1,2
51,20008,,0,2,2,4,2,2,4
52,25866,,0,2,2,4,2,2,4
53,13614,,0,16,16,32,16,16,32
54,19084,,0,5,5,10,5,5,10
55,7689,,0,32,32,64,32,32,64
56,9522,,0,5,5,10,5,5,10
57,19738,,0,5,5,10,5,5,10
58,8916,,0,11,11,22,11,11,22
59,14485,,0,21,21,42,21,21,42
60,23647,,0,12,12,24,12,12,24
61,23293,,0,53,53,106,53,53,106
62,7459,,0,12,12,24,12,12,24
63,22598,,0,18,18,36,18,18,36
64,7712,,0,18,18,36,18,18,36
65,14102,,0,7,7,14,7,7,14
66,18517,,0,9,9,18,9,9,18
67,5993,,0,13,13,26,13,13,26
68,1375,,0,2,2,4,2,2,4
69,5555,,0,8,8,16,8,8,16
70,5564,,0,10,10,20,10,10,20
71,5787,,0,8,8,16,8,8,16
72,9721,,0,2,2,4,2,2,4
73,10158,,0,1,1,2,1,1,2
74,10942,,0,11,11,22,11,11,22
75,13600,,0,2,2,4,2,2,4
76,13929,,0,45,45,90,45,45,90
77,21075,,0,16,16,32,16,16,32
78,21316,,0,1,1,2,1,1,2
79,22900,,0,1,1,2,1,1,2
80,23637,,0,10,10,20,10,10,20
81,23770,,0,10,10,20,10,10,20
82,25143,,0,2,2,4,2,2,4
83,25601,,0,1,1,2,1,1,2
84,25980,,0,2,2,4,2,2,4
85,9710,,0,20,20,40,20,20,40
86,14818,,0,5,5,10,5,5,10
87,16324,,0,7,7,14,7,7,14
88,9273,,0,2,2,4,2,2,4
89,9325,,0,7,7,14,7,7,14
90,15814,,0,12,12,24,12,12,24
91,24696,,0,20,20,40,20,20,40
92,18540,,0,14,14,28,14,14,28
93,1373,,0,5,5,10,5,5,10
94,19791,,0,5,5,10,5,5,10
95,1588,,0,19,19,38,19,19,38
96,22100,,0,9,9,18,9,9,18
97,1787,,0,3,3,6,3,3,6
98,2654,,0,38,38,76,38,38,76
99,10762,,0,30,30,60,30,30,60
100,16056,,0,12,12,24,12,12,24
101,18924,,0,8,8,16,8,8,16
102,3113,,0,17,17,34,17,17,34
103,11223,,0,4,4,8,4,4,8
104,19807,,0,2,2,4,2,2,4
105,5246,,0,3,3,6,3,3,6
106,10524,,0,2,2,4,2,2,4
107,12337,,0,2,2,4,2,2,4
108,15419,,0,1,1,2,1,1,2
109,339,,0,30,30,60,30,30,60
110,624,,0,17,17,34,17,17,34
111,3731,,0,9,9,18,9,9,18
112,4743,,0,25,25,50,25,25,50
113,5407,,0,9,9,18,9,9,18
114,6610,,0,68,68,136,68,68,136
115,6700,,0,31,31,62,31,31,62
116,8045,,0,15,15,30,15,15,30
117,9099,,0,9,9,18,9,9,18
118,9639,,0,31,31,62,31,31,62
119,9785,,0,68,68,136,68,68,136
120,12141,,0,5,5,10,5,5,10
121,15184,,0,13,13,26,13,13,26
122,15784,,0,11,11,22,11,11,22
123,18719,,0,22,22,44,22,22,44
124,19870,,0,21,21,42,21,21,42
125,20532,,0,20,20,40,20,20,40
126,22527,,0,25,25,50,25,25,50
127,23576,,0,4,4,8,4,4,8
128,23577,,0,9,9,18,9,9,18
129,23649,,0,9,9,18,9,9,18
130,24199,,0,6,6,12,6,6,12
131,24293,,0,20,20,40,20,20,40
132,25201,,0,13,13,26,13,13,26
133,26098,,0,6,6,12,6,6,12
134,26038,,0,15,15,30,15,15,30
135,16640,,0,7,7,14,7,7,14
136,4013,,0,10,10,20,10,10,20
137,546,,0,2,2,4,2,2,4
138,8641,,0,5,5,10,5,5,10
139,19922,,0,5,5,10,5,5,10
140,24559,,0,23,23,46,23,23,46
141,24110,,0,7,7,14,7,7,14
142,6635,,0,2,2,4,2,2,4
143,12118,,0,15,15,30,15,15,30
144,19980,,0,8,8,16,8,8,16
145,5957,,0,14,14,28,14,14,28
146,7716,,0,8,8,16,8,8,16
147,11233,,0,8,8,16,8,8,16
148,14090,,0,8,8,16,8,8,16
149,18397,,0,8,8,16,8,8,16
150,25541,,0,8,8,16,8,8,16
151,2249,,0,8,8,16,8,8,16
